Provinsi,Tahun,Produksi,Luas Panen,Curah hujan,Kelembapan,Suhu rata-rata,Produktivitas,Produksi_Lag1,Produksi_Lag2,Produktivitas_Lag1,Curah_Hujan_Mean_Provinsi,Curah_Hujan_Anomaly,Curah_Hujan_Kategori,Comfort_Index,Provinsi_Encoded,Curah_Hujan_Sedang,Curah_Hujan_Tinggi,Curah_Hujan_Sangat Tinggi
Jambi,1998,550277.0,178766.0,2383.8,83.47,26.78,3.0781971963348735,572269.0,657650.0,3.002334634432972,1998.9897857142857,384.81021428571444,Tinggi,24.857366000000003,2,False,True,False
Jambi,1999,553641.0,178307.0,2429.3,83.25,26.34,3.1049874654388216,550277.0,572269.0,3.0781971963348735,1998.9897857142857,430.31021428571444,Tinggi,24.42555,2,False,True,False
Jambi,2000,536779.0,171395.0,840.3,84.85,27.76,3.1318241488958254,553641.0,550277.0,3.1049874654388216,1998.9897857142857,-1158.6897857142858,Rendah,24.810139999999997,2,False,False,False
Jambi,2001,556564.0,164826.0,2515.2,72.4,28.12,3.3766760098528144,536779.0,553641.0,3.1318241488958254,1998.9897857142857,516.2102142857141,Tinggi,20.90912,2,False,True,False
Jambi,2002,561007.0,165729.0,2044.5,70.77,28.82,3.3850864966300405,556564.0,536779.0,3.3766760098528144,1998.9897857142857,45.510214285714255,Tinggi,19.942986,2,False,True,False
Jambi,2003,578346.0,159463.0,2508.1,71.28,29.39,3.6268350651875356,561007.0,556564.0,3.3850864966300405,1998.9897857142857,509.11021428571416,Tinggi,19.680408,2,False,True,False
Jambi,2004,579404.0,156803.0,2561.0,82.74,28.95,3.6951078742115904,578346.0,561007.0,3.6268350651875356,1998.9897857142857,562.0102142857143,Tinggi,23.208569999999998,2,False,True,False
Jambi,2005,579635.0,154941.0,1015.7,84.8,26.8,3.741004640476052,579404.0,578346.0,3.6951078742115904,1998.9897857142857,-983.2897857142857,Sedang,25.2704,2,True,False,False
Jambi,2006,544597.0,140613.0,443.514,85.0,26.77,3.8730202755079546,579635.0,579404.0,3.741004640476052,1998.9897857142857,-1555.4757857142858,Rendah,25.304499999999997,2,False,False,False
Jambi,2007,58663.0,149888.0,2394.0,86.0,26.6,0.39137889624252775,544597.0,579635.0,3.8730202755079546,1998.9897857142857,395.01021428571426,Tinggi,25.456,2,False,True,False
Jambi,2008,581704.0,143034.0,2230.0,83.7,26.5,4.066893186235441,58663.0,544597.0,0.39137889624252775,1998.9897857142857,231.01021428571426,Tinggi,24.6915,2,False,True,False
Jambi,2009,644947.0,155802.0,2299.0,83.8,27.1,4.139529659439545,581704.0,58663.0,4.066893186235441,1998.9897857142857,300.01021428571426,Tinggi,25.056199999999997,2,False,True,False
Jambi,2010,628828.0,153897.0,3207.0,84.6,27.1,4.086031566567249,644947.0,581704.0,4.139529659439545,1998.9897857142857,1208.0102142857143,Sangat Tinggi,25.295399999999997,2,False,False,True
Jambi,2011,646641.0,157441.0,2295.0,82.5,26.9,4.107195711409354,628828.0,644947.0,4.086031566567249,1998.9897857142857,296.01021428571426,Tinggi,24.667499999999997,2,False,True,False
Jambi,2012,625164.0,149369.0,1874.0,81.4,26.7,4.185366441497232,646641.0,628828.0,4.107195711409354,1998.9897857142857,-124.98978571428574,Sedang,24.175800000000002,2,True,False,False
Jambi,2013,664535.0,153243.0,2093.0,83.42,26.8,4.3364786646045825,625164.0,646641.0,4.185366441497232,1998.9897857142857,94.01021428571426,Tinggi,24.859160000000003,2,False,True,False
Jambi,2014,664720.0,145990.0,1781.0,82.8,27.2,4.5531885745599014,664535.0,625164.0,4.3364786646045825,1998.9897857142857,-217.98978571428574,Sedang,24.6744,2,True,False,False
Jambi,2015,541486.0,122214.0,1694.9,82.1,27.0,4.430638061105929,664720.0,664535.0,4.5531885745599014,1998.9897857142857,-304.08978571428565,Sedang,24.63,2,True,False,False
Jambi,2016,642095.0,96588.0,1502.4,83.84,26.84,6.647771979956103,541486.0,664720.0,4.430638061105929,1998.9897857142857,-496.58978571428565,Sedang,25.017856000000002,2,True,False,False
Jambi,2017,678127.0,97690.0,2193.2,83.69,26.62,6.941621455624936,642095.0,541486.0,6.647771979956103,1998.9897857142857,194.21021428571407,Tinggi,24.788978,2,False,True,False
Jambi,2018,383045.74,86202.68,2182.3,82.23,26.62,4.443547926816197,678127.0,642095.0,6.941621455624936,1998.9897857142857,183.31021428571444,Tinggi,24.356526000000002,2,False,True,False
Jambi,2019,309932.68,69536.06,1773.4,81.44,26.94,4.457150433889985,383045.74,678127.0,4.443547926816197,1998.9897857142857,-225.58978571428565,Sedang,24.383136,2,True,False,False
Jambi,2020,374376.27,84772.93,2303.8,78.24,25.85,4.4162242593242915,309932.68,383045.74,4.457150433889985,1998.9897857142857,304.81021428571444,Tinggi,22.57224,2,False,True,False
Lampung,1993,1646900.0,433078.0,2306.7,84.82,26.41,3.802779176037573,2444067.7689285716,2444067.7689285716,4.7661084384431485,1925.3,381.39999999999986,Tinggi,24.945562,3,False,True,False
Lampung,1994,1615751.0,425940.0,2034.2,77.51,25.73,3.793377001455604,1646900.0,2444067.7689285716,3.802779176037573,1925.3,108.90000000000009,Tinggi,22.268623,3,False,True,False
Lampung,1995,1943709.0,514363.0,3039.4,82.81,26.43,3.778866287038531,1615751.0,1646900.0,3.793377001455604,1925.3,1114.1000000000001,Sangat Tinggi,24.370983000000003,3,False,False,True
Lampung,1996,1971740.0,515192.0,1934.9,82.61,26.27,3.827194521654063,1943709.0,1615751.0,3.778866287038531,1925.3,9.600000000000136,Sedang,24.179947,3,True,False,False
Lampung,1997,1753656.0,454087.0,1253.3,78.46,26.68,3.86193835102084,1971740.0,1943709.0,3.827194521654063,1925.3,-672.0,Sedang,23.286928,3,True,False,False
